date,month,time_class,color,outcome,my_rating,opp_rating,opp_name,accuracy,opening,url
2023-06-24,2023-06,rapid,black,Win,532,292,bhatimukul,,Scandinavian Defense Closed 2...d4,https://www.chess.com/game/live/81090528460
2023-06-24,2023-06,rapid,white,Win,651,517,GmToffino,,Queens Pawn Opening Accelerated London System 2...c6 3.e3,https://www.chess.com/game/live/81334374685
2023-06-24,2023-06,rapid,black,Win,692,393,sacheridumps,69.66,Scandinavian Defense,https://www.chess.com/game/live/81334873643
2023-06-24,2023-06,rapid,white,Win,705,229,biphie,,Englund Gambit 2.dxe5,https://www.chess.com/game/live/81334986515
2023-06-24,2023-06,rapid,white,Win,763,617,quangtrung2312,,Queens Pawn Opening 1...d5 2.e3,https://www.chess.com/game/live/81335544615
2023-06-24,2023-06,rapid,black,Win,769,204,GusGus92300,,Scandinavian Defense,https://www.chess.com/game/live/81336089199
2023-06-24,2023-06,rapid,white,Win,819,700,HolySlayer25,,Indian Game 2.Bf4 e6 3.e3 d5,https://www.chess.com/game/live/81336158287
2023-06-24,2023-06,rapid,black,Win,882,884,Gelsoneto,77.69,Scandinavian Defense Closed 2...d4,https://www.chess.com/game/live/81336657737
2023-06-24,2023-06,rapid,black,Win,959,1122,samamanumair,,Scandinavian Defense 2.e5,https://www.chess.com/game/live/81337240491
2023-06-24,2023-06,rapid,white,Loss,923,1014,StraightShoot,,Queens Pawn Opening Chigorin Variation 2...Nf6 3.Bf4,https://www.chess.com/game/live/81337337109
2023-06-24,2023-06,rapid,white,Win,955,865,lucaschen391467872,,Queens Pawn Opening Chigorin Variation 2...Nf6,https://www.chess.com/game/live/81337971213
2023-06-24,2023-06,rapid,white,Win,973,770,OGGY_EHH,,Queens Pawn Opening 1...d5 2.e3 c5,https://www.chess.com/game/live/81338489425
2023-06-24,2023-06,rapid,black,Win,990,795,Hamdyelmenoufy,,Scandinavian Defense Closed 2...d4,https://www.chess.com/game/live/81339087419
2023-06-24,2023-06,rapid,black,Win,1005,792,prathima84,,Scandinavian Defense Mieses Kotrc Variation 3.Nc3,https://www.chess.com/game/live/81339162261
2023-06-24,2023-06,rapid,black,Win,1027,928,ferndal,,Scandinavian Defense Mieses Kotrc Variation 3.Nf3,https://www.chess.com/game/live/81339633813
